"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "MS SQL", "PowerShell", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\clinic\page.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\layout.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\personal\page.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\professional\page.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\settings\security\page.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctor\verification\page.tsx", "TypeScript JSX", 0, 0, 0, 204, 0, 0, 0, 0, 0, 11, 17, 232
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\[publicId]\page.tsx", "TypeScript JSX", 0, 0, 0, 78, 0, 0, 0, 0, 0, 6, 17, 101
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\confirmation\page.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 25, 144
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\booking\layout.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\doctors\page.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 14, 100
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\error.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 153, 8, 14, 175
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\notfound.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\page.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\book\page.tsx", "TypeScript JSX", 0, 0, 0, 132, 0, 0, 0, 0, 0, 9, 20, 161
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\loading.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 3, 39
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\appointments\page.tsx", "TypeScript JSX", 0, 0, 0, 216, 0, 0, 0, 0, 0, 3, 72, 291
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\danger-zone\page.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\emergency-contacts\page.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\layout.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 9, 60
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\page.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\patient\records\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\services\auth.service.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 3, 14, 77
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\types\auth.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 7, 44
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\about-hero\AboutHero.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 7, 30
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\about-hero\HeroContent.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\core-values\CoreValues.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 4, 47
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\core-values\ValueCard.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 5, 32
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\final-cta\FinalCTA.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 4, 37
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\impact-stats\ImpactCard.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 3, 36
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\impact-stats\StatCard.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\ImpactInlineStats.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 2, 33
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\OurStory.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\StoryContent.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 6, 41
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\our-story\StoryImageCard.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 3, 22
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\trust-badges\BadgeItem.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\about\trust-badges\TrustBadges.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 4, 52
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 0, 4, 10, 80
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\AdminTopBar.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 7, 42
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\RecentActivity.tsx", "TypeScript JSX", 0, 0, 0, 155, 0, 0, 0, 0, 0, 13, 14, 182
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\StatsCard.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
